ID,GESCHL,GEBJAHR,BERUFSTAETIG,ARBEITSSTD,ARZTBES,RAUCH,GRO,GEW,SCHULABSCHLUSS,SCHULABSCHLUSS_V,SCHULABSCHLUSS_M,HOE_ABSCHLUSS,HOE_ABSCHLUSS_V,HOE_ABSCHLUSS_M,NETTO,ZUFR
1359,WEIBLICH,1967,NICHT ERWERBSTAETIG,,1,JA,162,79,MITTLERE REIFE,MITTLERE REIFE,HOCHSCHULREIFE,LEHRE,"GEWERBL.,LANDW.LEHRE","MEISTER, TECHNIKER",475,10
2455,WEIBLICH,1964,HAUPTBERUFL.HALBTAGS,30,1,NEIN,165,59,MITTLERE REIFE,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",LEHRE,"MEISTER, TECHNIKER",KAUFMAENNISCHE LEHRE,780,9
200,MAENNLICH,1980,NICHT ERWERBSTAETIG,,3,NEIN,166,86,HOCHSCHULREIFE,HOCHSCHULREIFE,HOCHSCHULREIFE,HOCHSCHULABSCHLUSS,HOCHSCHULABSCHLUSS,HOCHSCHULABSCHLUSS,,8
1280,MAENNLICH,1968,HAUPTBERUFL.GANZTAGS,50,0,NEIN,180,95,FACHHOCHSCHULREIFE,MITTLERE REIFE,MITTLERE REIFE,FACHHOCHSCHULABSCHL.,KAUFMAENNISCHE LEHRE,KAUFMAENNISCHE LEHRE,,8
2384,WEIBLICH,1995,NICHT ERWERBSTAETIG,,1,NEIN,161,46,NOCH SCHUELER,MITTLERE REIFE,"VOLKS-,HAUPTSCHULE",NOCH SCHUELER,"GEWERBL.,LANDW.LEHRE","GEWERBL.,LANDW.LEHRE",,7
2258,MAENNLICH,1992,HAUPTBERUFL.HALBTAGS,13,0,NEIN,187,93,FACHHOCHSCHULREIFE,,,KEIN ABSCHLUSS,,,,9
837,MAENNLICH,1967,HAUPTBERUFL.GANZTAGS,47,0,NEIN,194,96,ANDERER ABSCHLUSS,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE","MEISTER, TECHNIKER","GEWERBL.,LANDW.LEHRE",KEIN ABSCHLUSS,4000,8
1343,MAENNLICH,1989,NEBENHER BERUFSTAE.,,1,NEIN,173,70,"VOLKS-,HAUPTSCHULE",OHNE ABSCHLUSS,OHNE ABSCHLUSS,KEIN ABSCHLUSS,KEIN ABSCHLUSS,KAUFMAENNISCHE LEHRE,400,9
3129,MAENNLICH,1960,HAUPTBERUFL.GANZTAGS,37,0,NEIN,175,85,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",LEHRE,"GEWERBL.,LANDW.LEHRE",KAUFMAENNISCHE LEHRE,1100,8
2961,WEIBLICH,1952,HAUPTBERUFL.HALBTAGS,30,4,NEIN,170,110,FACHHOCHSCHULREIFE,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",HOCHSCHULABSCHLUSS,"GEWERBL.,LANDW.LEHRE",KAUFMAENNISCHE LEHRE,2000,8
